X Y Z
-44.5 -118.625 -156.0625
-44.625 -119.0625 -156.375
-44.625 -119.0625 -156.4375
-44.625 -118.9375 -156.25
-44.75 -119.0625 -156.3125
-44.8125 -119.4375 -156.25
-45.0 -119.375 -156.4375
-44.75 -119.3125 -156.1875
-44.75 -119.4375 -156.5
-45.0625 -119.25 -156.5625
-44.875 -118.5625 -156.5
-44.5 -118.0625 -156.25
-44.8125 -118.25 -156.75
-44.5625 -118.0 -156.625
-43.9375 -117.8125 -156.375
-43.875 -118.6875 -156.1875
-43.625 -119.125 -156.75
-43.625 -119.4375 -156.6875
-43.5625 -119.625 -156.3125
-43.9375 -120.125 -157.0
-44.4375 -119.8125 -157.4375
-44.875 -119.875 -157.3125
-44.75 -119.3125 -157.0625
-44.8125 -119.375 -157.3125
-44.875 -119.1875 -157.125
-44.9375 -119.5625 -157.25
-44.875 -119.3125 -157.125
-44.8125 -119.625 -157.6875
-45.375 -119.3125 -157.4375
-45.125 -119.25 -157.125
-44.5625 -118.8125 -156.5625
-44.5 -118.6875 -155.9375
-44.5 -118.625 -155.25
-44.0 -118.6875 -155.25
-44.4375 -118.5 -155.5625
-44.75 -118.125 -155.6875
-45.0 -118.5625 -156.5625
-44.8125 -118.375 -156.9375
-44.625 -118.6875 -157.3125
-45.0 -119.0 -156.75
-44.625 -119.375 -156.8125
-44.625 -119.0 -156.4375
-44.75 -119.3125 -156.625
-44.6875 -119.1875 -156.625
-44.1875 -119.0 -157.125
-44.25 -118.5625 -156.875
-43.9375 -118.4375 -156.5625
-44.125 -118.4375 -156.25
-44.4375 -118.5 -155.875
-44.0625 -118.5625 -155.6875
-44.0 -119.0625 -156.0
-44.125 -119.5625 -156.125
-44.3125 -119.3125 -156.125
-43.9375 -119.3125 -156.5
-44.25 -119.125 -156.4375
-44.625 -119.375 -156.375
-44.5625 -119.125 -156.9375
-44.5 -119.1875 -157.125
-44.6875 -118.6875 -156.5
-44.75 -118.6875 -156.5
-44.6875 -117.875 -156.6875
-44.3125 -118.0625 -156.375
-43.875 -118.3125 -156.6875
-44.0 -119.1875 -157.1875
-43.875 -119.3125 -157.4375
-43.625 -119.625 -157.375
-43.625 -119.5 -157.5
-43.75 -119.5 -157.3125
-43.75 -119.3125 -157.3125
-44.125 -119.125 -157.5
-44.0625 -118.9375 -157.875
-44.5625 -118.8125 -157.5625
-44.4375 -118.375 -157.1875
-44.3125 -118.0 -156.875
-44.0 -118.0 -156.25
-44.3125 -118.1875 -155.625
-44.125 -118.0625 -156.0
-44.625 -118.4375 -156.125
-44.8125 -118.5625 -156.5625
-44.8125 -118.8125 -157.125
-44.3125 -119.0625 -157.5625
-44.6875 -119.1875 -157.5
-44.5625 -119.1875 -157.625
-44.3125 -119.25 -157.25
-44.375 -119.125 -156.9375
-44.9375 -118.8125 -156.8125
-44.4375 -118.5 -156.625
-44.6875 -118.5 -156.1875
-44.75 -118.3125 -156.3125
-44.4375 -117.875 -156.1875
-44.125 -117.8125 -155.6875
-43.8125 -118.0625 -155.5625
-43.5625 -117.8125 -155.875
-44.0 -118.0625 -156.0
-44.6875 -118.375 -156.625
-45.0 -118.4375 -157.0625
-45.625 -118.8125 -157.5
-45.5 -118.75 -157.875
-45.1875 -118.9375 -158.0
-44.6875 -118.875 -157.6875
-44.375 -118.8125 -157.6875
-44.0625 -118.4375 -157.4375
-44.3125 -118.75 -157.0
-44.5 -118.3125 -156.6875
-44.5 -118.4375 -156.1875
-44.6875 -118.625 -156.25
-45.1875 -119.0625 -156.375
-45.25 -119.25 -156.3125
-45.125 -119.5 -156.4375
-44.9375 -119.375 -156.4375
-44.8125 -119.375 -156.3125
-44.625 -118.75 -156.125
-44.375 -118.5 -156.0
-44.1875 -118.25 -156.0
-44.8125 -118.125 -156.4375
-44.6875 -118.375 -156.375
-44.75 -118.75 -156.375
-45.0 -118.9375 -156.75
-44.6875 -119.3125 -157.125
-44.125 -119.375 -157.125
-44.25 -118.9375 -156.9375
-44.25 -118.5625 -156.8125
-44.125 -118.25 -156.875
-44.1875 -118.125 -156.875
-44.5 -118.5 -157.0625
-44.5625 -118.9375 -157.1875
-44.375 -119.375 -157.3125
-44.625 -119.9375 -157.0625
-44.875 -120.0625 -157.0625
-44.6875 -119.9375 -156.8125
-44.625 -119.4375 -157.0625
-44.4375 -119.1875 -157.3125
-43.9375 -118.9375 -157.4375
-43.8125 -118.6875 -156.625
-43.8125 -118.875 -156.875
-43.8125 -119.5 -156.875
-43.875 -119.875 -156.875
-44.0625 -119.8125 -156.75
-44.25 -119.5625 -157.375
-44.3125 -119.5 -157.125
-44.25 -119.1875 -157.0
-44.3125 -119.0 -156.9375
-44.3125 -118.75 -157.25
-44.125 -118.9375 -157.0625
-43.9375 -118.9375 -156.9375
-44.25 -118.625 -157.25
-44.25 -118.6875 -157.0625
-44.375 -119.0 -156.875
-44.375 -119.125 -157.0625
-44.6875 -119.1875 -157.25
-44.375 -119.375 -157.0
-44.625 -118.9375 -156.9375
-44.75 -118.8125 -156.9375
-45.0625 -118.375 -156.625
-44.9375 -118.5 -156.5625
-45.25 -118.6875 -156.8125
-45.0 -118.875 -157.4375
-44.8125 -119.25 -157.125
-44.4375 -119.75 -157.5
-44.625 -119.6875 -157.5
-44.8125 -119.625 -157.125
-44.4375 -119.625 -156.1875
-44.3125 -119.1875 -156.25
-44.375 -118.75 -155.875
-44.5625 -118.75 -155.8125
-44.0625 -118.625 -156.125
